ticker,company,aliases,ambiguity,ambiguous_aliases,kind,notes
PG,Procter & Gamble,Procter & Gamble,high,,equity,S&P 500 constituent
PGR,Progressive Corporation,Progressive|Progressive Corporation,medium,Progressive,equity,S&P 500 constituent
PH,Parker Hannifin,Parker Hannifin,high,,equity,S&P 500 constituent
PHM,PulteGroup,PulteGroup,medium,,equity,S&P 500 constituent
PKG,Packaging Corporation of America,Packaging Corporation of America,medium,,equity,S&P 500 constituent
PLAY,Dave & Busters,Dave & Buster's,high,,equity,PLAY is a common English verb
PLD,Prologis,Prologis,medium,,equity,S&P 500 constituent
PLTR,Palantir,Palantir,low,,equity,
PM,Philip Morris International,Philip Morris International,high,,equity,S&P 500 constituent
PNC,PNC Financial Services,PNC Financial Services,medium,,equity,S&P 500 constituent
PNR,Pentair,Pentair,medium,,equity,S&P 500 constituent
PNW,Pinnacle West Capital,Pinnacle West Capital,medium,,equity,S&P 500 constituent
PODD,Insulet Corporation,Insulet|Insulet Corporation,low,,equity,S&P 500 constituent
PPG,PPG Industries,PPG Industries,medium,,equity,S&P 500 constituent
PPL,PPL Corporation,PPL|PPL Corporation,medium,,equity,S&P 500 constituent
PRU,Prudential Financial,Prudential Financial,medium,,equity,S&P 500 constituent
PSA,Public Storage,Public Storage,medium,,equity,S&P 500 constituent
PSKY,Paramount Skydance Corporation,Paramount Skydance|Paramount Skydance Corporation,low,,equity,S&P 500 constituent
PSX,Phillips 66,Phillips 66,medium,,equity,S&P 500 constituent
PTC,PTC Inc.,PTC|PTC Inc.,medium,,equity,S&P 500 constituent
PWR,Quanta Services,Quanta Services,medium,,equity,S&P 500 constituent
PYPL,PayPal,PayPal,low,,equity,S&P 500 constituent
Q,Qnity Electronics,Qnity Electronics,high,,equity,S&P 500 constituent
QCOM,Qualcomm,Qualcomm,low,,equity,
QQQ,Invesco QQQ Trust,Nasdaq 100|the Nasdaq,low,,index_etf,"index or ETF, counts as a stock mention per the brief"
RCL,Royal Caribbean Group,Royal Caribbean|Royal Caribbean Group,medium,,equity,S&P 500 constituent
RDDT,Reddit,Reddit,low,,equity,S&P 500 constituent
REG,Regency Centers,Regency Centers,medium,,equity,S&P 500 constituent
REGN,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,low,,equity,S&P 500 constituent
RF,Regions Financial Corporation,Regions Financial|Regions Financial Corporation,high,,equity,S&P 500 constituent
RIVN,Rivian,Rivian,low,,equity,
RJF,Raymond James Financial,Raymond James Financial,medium,,equity,S&P 500 constituent
RL,Ralph Lauren Corporation,Ralph Lauren|Ralph Lauren Corporation,high,,equity,S&P 500 constituent
RMD,ResMed|,ResMed|,medium,,equity,S&P 500 constituent
ROK,Rockwell Automation,Rockwell Automation,medium,,equity,S&P 500 constituent
ROL,"Rollins, Inc.","Rollins|Rollins, Inc.",medium,,equity,S&P 500 constituent
ROP,Roper Technologies,Roper Technologies,medium,,equity,S&P 500 constituent
ROST,Ross Stores,Ross Stores,low,,equity,S&P 500 constituent
RSG,Republic Services,Republic Services,medium,,equity,S&P 500 constituent
RTX,RTX Corporation,Raytheon|RTX,low,,equity,
RUN,Sunrun,Sunrun,high,,equity,RUN is a common English verb
RVTY,Revvity,Revvity,low,,equity,S&P 500 constituent
SBAC,SBA Communications,SBA Communications,low,,equity,S&P 500 constituent
SBUX,Starbucks,Starbucks,low,,equity,
SCHW,Charles Schwab Corporation,Charles Schwab|Charles Schwab Corporation,low,,equity,S&P 500 constituent
SHW,Sherwin-Williams,Sherwin-Williams,medium,,equity,S&P 500 constituent
SJM,J.M. Smucker Company (The),J.M. Smucker|J.M. Smucker Company (The),medium,,equity,S&P 500 constituent
SLB,Schlumberger,Schlumberger,medium,,equity,S&P 500 constituent
SMCI,Super Micro Computer,Super Micro|Supermicro,low,,equity,
SNA,Snap-on,Snap-on,medium,,equity,S&P 500 constituent
SNDK,Sandisk,Sandisk,low,,equity,S&P 500 constituent
SNPS,Synopsys,Synopsys,low,,equity,S&P 500 constituent
SO,Southern Company,Southern Company,high,,equity,SO is an extremely common English conjunction
SOLV,Solventum,Solventum,low,,equity,S&P 500 constituent
SPG,Simon Property Group,Simon Property|Simon Property Group,medium,,equity,S&P 500 constituent
SPGI,S&P Global,S&P Global,low,,equity,S&P 500 constituent
SPY,SPDR S&P 500 ETF Trust,S&P 500|SPDR S&P 500|the S&P,high,,index_etf,"index or ETF, counts as a stock mention per the brief"
SRE,Sempra,Sempra,medium,,equity,S&P 500 constituent
STE,Steris,Steris,medium,,equity,S&P 500 constituent
STLD,Steel Dynamics,Steel Dynamics,low,,equity,S&P 500 constituent
STT,State Street Corporation,State Street|State Street Corporation,medium,,equity,S&P 500 constituent
STX,Seagate Technology,Seagate Technology,medium,,equity,S&P 500 constituent
STZ,Constellation Brands,Constellation Brands,medium,,equity,S&P 500 constituent
SW,Smurfit Westrock,Smurfit Westrock,high,,equity,S&P 500 constituent
SWK,Stanley Black & Decker,Stanley Black & Decker,medium,,equity,S&P 500 constituent
SWKS,Skyworks Solutions,Skyworks Solutions,low,,equity,S&P 500 constituent
SYF,Synchrony Financial,Synchrony Financial,medium,,equity,S&P 500 constituent
SYK,Stryker Corporation,Stryker|Stryker Corporation,medium,,equity,S&P 500 constituent
SYY,Sysco,Sysco,medium,,equity,S&P 500 constituent
T,AT&T,AT&T|ATT,high,,equity,single letter ticker and T is an extremely common token
TAP,Molson Coors Beverage Company,Molson Coors Beverage|Molson Coors Beverage Company,medium,,equity,S&P 500 constituent
TDG,TransDigm Group,TransDigm|TransDigm Group,medium,,equity,S&P 500 constituent
TDY,Teledyne Technologies,Teledyne Technologies,medium,,equity,S&P 500 constituent
TECH,Bio-Techne,Bio-Techne,high,,equity,S&P 500 constituent
TEL,TE Connectivity,TE Connectivity,medium,,equity,S&P 500 constituent
TER,Teradyne,Teradyne,medium,,equity,S&P 500 constituent
TFC,Truist Financial,Truist Financial,medium,,equity,S&P 500 constituent
TGT,Target,Target,high,Target,equity,Target is an extremely common English noun and verb
TJX,TJX Companies,TJX Companies,medium,,equity,S&P 500 constituent
TKO,TKO Group Holdings,TKO Group|TKO Group Holdings,medium,,equity,S&P 500 constituent
TLT,iShares 20+ Year Treasury Bond ETF,iShares Treasury Bond,medium,,index_etf,"index or ETF, counts as a stock mention per the brief"
TMO,Thermo Fisher Scientific,Thermo Fisher Scientific,medium,,equity,S&P 500 constituent
TMUS,T-Mobile US,T-Mobile US,low,,equity,S&P 500 constituent
TPL,Texas Pacific Land Corporation,Texas Pacific Land|Texas Pacific Land Corporation,medium,,equity,S&P 500 constituent
TPR,"Tapestry, Inc.","Tapestry|Tapestry, Inc.",medium,,equity,S&P 500 constituent
TRGP,Targa Resources,Targa Resources,low,,equity,S&P 500 constituent
TRMB,Trimble Inc.,Trimble|Trimble Inc.,low,,equity,S&P 500 constituent
TROW,T. Rowe Price,T. Rowe Price,low,,equity,S&P 500 constituent
TRUE,TrueCar,TrueCar,high,,equity,TRUE is a common English adjective and appears in Truth Social contexts
TRV,Travelers Companies (The),Travelers Companies|Travelers Companies (The),medium,,equity,S&P 500 constituent
TSCO,Tractor Supply,Tractor Supply,low,,equity,S&P 500 constituent
TSLA,Tesla,Tesla|Tesla Motors|the electric car company|Musk's car company,low,,equity,
TSM,Taiwan Semiconductor,Taiwan Semiconductor|TSMC,low,,equity,
TSN,Tyson Foods,Tyson Foods,medium,,equity,S&P 500 constituent
TT,Trane Technologies,Trane Technologies,high,,equity,S&P 500 constituent
TTD,Trade Desk (The),Trade Desk|Trade Desk (The),medium,,equity,S&P 500 constituent
TTWO,Take-Two Interactive,Take-Two Interactive,low,,equity,S&P 500 constituent
TXN,Texas Instruments,Texas Instruments,medium,,equity,S&P 500 constituent
TXT,Textron,Textron,medium,,equity,S&P 500 constituent
TYL,Tyler Technologies,Tyler Technologies,medium,,equity,S&P 500 constituent
UAL,United Airlines,United Airlines,medium,,equity,
UBER,Uber,Uber,low,,equity,S&P 500 constituent
UDR,"UDR, Inc.","UDR|UDR, Inc.",medium,,equity,S&P 500 constituent
UHS,Universal Health Services,Universal Health Services,medium,,equity,S&P 500 constituent
ULTA,Ulta Beauty,Ulta Beauty,low,,equity,S&P 500 constituent
UNH,UnitedHealth,UnitedHealth|United Health,low,,equity,
UNP,Union Pacific Corporation,Union Pacific|Union Pacific Corporation,medium,,equity,S&P 500 constituent
UPS,United Parcel Service,UPS,medium,,equity,UPS also abbreviates uninterruptible power supply
URI,United Rentals,United Rentals,medium,,equity,S&P 500 constituent
USB,U.S. Bancorp,U.S. Bancorp,medium,,equity,S&P 500 constituent
V,Visa Inc.,Visa|Visa Inc.,high,,equity,S&P 500 constituent
VEEV,Veeva Systems,Veeva Systems,low,,equity,S&P 500 constituent
VICI,Vici Properties,Vici Properties,low,,equity,S&P 500 constituent
VLO,Valero Energy,Valero Energy,medium,,equity,S&P 500 constituent
VLTO,Veralto,Veralto,low,,equity,S&P 500 constituent
VMC,Vulcan Materials Company,Vulcan Materials|Vulcan Materials Company,medium,,equity,S&P 500 constituent
VMRK,Vivmark Residential,Vivmark Residential,low,,equity,S&P 500 constituent
VOO,Vanguard S&P 500 ETF,Vanguard S&P 500,medium,,index_etf,"index or ETF, counts as a stock mention per the brief"
VRSK,Verisk Analytics,Verisk Analytics,low,,equity,S&P 500 constituent
VRSN,Verisign,Verisign,low,,equity,S&P 500 constituent
VRT,Vertiv,Vertiv,medium,,equity,S&P 500 constituent
VRTX,Vertex Pharmaceuticals,Vertex Pharmaceuticals,low,,equity,S&P 500 constituent
VST,Vistra Corp.,Vistra|Vistra Corp.,medium,,equity,S&P 500 constituent
VTI,Vanguard Total Stock Market ETF,Vanguard Total Stock Market,medium,,index_etf,"index or ETF, counts as a stock mention per the brief"
VTR,Ventas,Ventas,medium,,equity,S&P 500 constituent
VTRS,Viatris,Viatris,low,,equity,S&P 500 constituent
VZ,Verizon,Verizon,low,,equity,
WAB,Wabtec,Wabtec,medium,,equity,S&P 500 constituent
WAT,Waters Corporation,Waters|Waters Corporation,medium,Waters,equity,S&P 500 constituent
WBD,Warner Bros. Discovery,Warner Bros. Discovery,medium,,equity,S&P 500 constituent
WDAY,"Workday, Inc.","Workday|Workday, Inc.",low,,equity,S&P 500 constituent
WDC,Western Digital,Western Digital,medium,,equity,S&P 500 constituent
WEC,WEC Energy Group,WEC Energy|WEC Energy Group,medium,,equity,S&P 500 constituent
WELL,Welltower,Welltower,high,,equity,WELL is a very common English word
WFC,Wells Fargo,Wells Fargo,low,,equity,
WM,Waste Management,Waste Management,high,,equity,S&P 500 constituent
WMB,Williams Companies,Williams Companies,medium,,equity,S&P 500 constituent
WMT,Walmart,Walmart|Wal-Mart,low,,equity,
WRB,W. R. Berkley Corporation,W. R. Berkley|W. R. Berkley Corporation,medium,,equity,S&P 500 constituent
WSM,"Williams-Sonoma, Inc.","Williams-Sonoma|Williams-Sonoma, Inc.",medium,,equity,S&P 500 constituent
WST,West Pharmaceutical Services,West Pharmaceutical Services,medium,,equity,S&P 500 constituent
WTW,Willis Towers Watson,Willis Towers Watson,medium,,equity,S&P 500 constituent
WY,Weyerhaeuser,Weyerhaeuser,high,,equity,S&P 500 constituent
WYNN,Wynn Resorts,Wynn Resorts,low,,equity,S&P 500 constituent
X,United States Steel,US Steel|U.S. Steel|United States Steel,high,US Steel|U.S. Steel,equity,single letter ticker also refers to Musk's X platform
XEL,Xcel Energy,Xcel Energy,medium,,equity,S&P 500 constituent
XOM,Exxon Mobil,Exxon|ExxonMobil,low,,equity,
XYL,Xylem Inc.,Xylem|Xylem Inc.,medium,,equity,S&P 500 constituent
XYZ,"Block, Inc.","Block|Block, Inc.",medium,Block,equity,S&P 500 constituent
YUM,Yum! Brands,Yum! Brands,medium,,equity,S&P 500 constituent
ZBH,Zimmer Biomet,Zimmer Biomet,medium,,equity,S&P 500 constituent
ZBRA,Zebra Technologies,Zebra Technologies,low,,equity,S&P 500 constituent
ZTS,Zoetis,Zoetis,medium,,equity,S&P 500 constituent
